date,open,high,low,close
44890.00 ,16598.3,16646,16334.8,16519.6
44891.00 ,16519.9,16689.1,16376,16416.1
44892.00 ,16414.6,16588.9,16407.3,16563.3
44893.00 ,16560.9,16567.7,16003.7,16212.5
44894.00 ,16214.2,16535.5,16093.5,16488.7
44895.00 ,16488.4,17241.4,16422.1,17153.7
44896.00 ,17146.7,17236,16863.7,16966.5
44897.00 ,16967.1,17105.2,16808.3,17042.2
44898.00 ,17044,17157.7,16864.6,16902.8
44899.00 ,16903,17150.6,16873.8,17104.6
44900.00 ,17105.3,17420.5,16870,16943.9
44901.00 ,16943.6,17102,16912.1,16973.7
44902.00 ,16974.1,17134.7,16689.9,16842.5
44903.00 ,16841.6,17298,16738,17203.8
44904.00 ,17203.3,17345.2,17069.4,17133.3
44905.00 ,17133.4,17226,17112.1,17137.6
44906.00 ,17137.7,17268.9,17091.3,17104.7
44907.00 ,17101.4,17219.8,16874.2,17159.7
44908.00 ,17159,17953.4,17084.9,17772
44909.00 ,17770.7,18377.6,17667.2,17837.7
44910.00 ,17836.5,17856.7,17282.2,17344.3
44911.00 ,17345.1,17528.3,16696.4,16725
44912.00 ,16727,16773.5,16532.6,16741.7
44913.00 ,16741.9,16860.9,16665.3,16763.8
44914.00 ,16764.6,16820.1,16265.7,16416.3
44915.00 ,16414.6,17055,16373.8,16869.7
44916.00 ,16868.8,16925.2,16727,16765.4
44917.00 ,16765.8,16867.2,16560.9,16795
44918.00 ,16795,16940.9,16743.9,16791
44919.00 ,16790.8,16859.5,16772.8,16824.9
44920.00 ,16824.9,16854,16725.8,16819.6
44921.00 ,16819.8,16915.6,16796,16835.3
44922.00 ,16835.9,16963.3,16595.4,16684.1
44923.00 ,16684.4,16776.9,16462.9,16509.2
44924.00 ,16509.7,16656.8,16481.7,16612.5
